artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,valid_match,sp_async_delta,sp_async_cor_onset,sp_async_cor_vel,sp_async_voice_std,sp_duration_percentage,sp_key_overlap_ratio,sp_kor_repeated,sp_kor_staccato,sp_kor_legato,sp_tempo_std,sp_dynamics_agreement,sp_dynamics_consistency_std,sp_phrasing_rubato_w,sp_phrasing_rubato_q
Vladimir Horowitz,2.0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor",187.84,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00030.mid",https://www.youtube.com/watch?v=M8pjYn91CMg,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00030_match.csv",0.08303249800796754,0.30893397729917416,0.0821390038827725,0.03166540585958651,1.4856708792959736,-0.018857854329856663,-0.47780390286814506,-0.2776332207644217,,81.54792091514116,,,0.14556519985882152,-0.5740093817719186
Vladimir Horowitz,2.0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor",183.586,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00031.mid",https://www.youtube.com/watch?v=MpotawEo8Tk,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00031_match.csv",0.08051884999999986,0.017472530836653517,0.13680192673232205,0.029665849318748043,1.5816055962822517,-0.02914054436288857,-0.421156284919652,-0.14642181915986646,,79.84289978788136,,,0.1641692856608835,-1.418663711879882
Vladimir Horowitz,2.0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor",179.386,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00032.mid",https://www.youtube.com/watch?v=dhXAQ3iKqvQ,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00032_match.csv",0.10463598837209312,0.3548959028533616,0.2755344961073894,0.0407606814390643,1.4765505772430525,-0.03694313858527431,-0.45895954575494385,-0.151522939373208,,93.10638970393674,,,0.1705633619659212,-2.0595101915943466
Vladimir Horowitz,2.0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor",180.533,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00033.mid",https://www.youtube.com/watch?v=ixdvE6-v04E,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00033_match.csv",0.09210172619047673,0.18706637266223827,0.19733960810207082,0.03536914879020034,1.5420958339554685,-0.04068378114083433,-0.5123052095361499,-0.27992935374146843,,80.21390820347821,,,0.26241192811925407,-2.002212663319646
Vladimir Ashkenazy,6.0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor - Allegro",148.906,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00034.mid",https://www.youtube.com/watch?v=1AG6MFYMlAA,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00034_match.csv",0.04513397348484865,0.041434449982766366,0.242454329352421,0.014463999884211222,1.260385963506606,-0.09177606215877006,-0.4974629825795082,-0.2524082134833945,,63.37837115940361,,,0.537194291431712,-13.529277326940397
Vladimir Ashkenazy,6.0,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor - Allegro",145.64,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00035.mid",https://www.youtube.com/watch?v=Mb0qplIwGY4,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00035_match.csv",0.04856290740740742,0.06194630024764832,0.23596296349110188,0.01574589486697548,1.366634734063086,-0.06317623499614806,-0.4742680777227046,-0.27189793204137264,,69.02260086698084,,,0.35323171391228303,-10.085991550151297
Grigory Sokolov,12.0,"13 Preludes, Op. 32: No. 12 in G Sharp Minor: Allegro - Live at Mozart Hall of the Zaragoza Auditorium / 2019",183.213,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00036.mid",https://www.youtube.com/watch?v=C_sbdqkiOCk,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00036_match.csv",0.06093448091603055,0.33652881450283517,0.3320905060735637,0.020751764503737193,1.4572712693342245,-0.04359563543541693,-0.4524756775446477,-0.18262016887029978,,59.67721041613863,,,0.2507769285415061,1.9264326417553013
Hélène Grimaud,38.0,"Rachmaninov: 13 Preludes, Op. 32: No. 12 in G-Sharp Minor",174.30599999999995,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00037.mid",https://www.youtube.com/watch?v=TMw_57_83kk,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00037_match.csv",0.07115478321678304,0.005040967946612307,0.2903607588334236,0.02234540304534984,1.419926364602897,-0.020185232200465888,-0.4267064390387763,-0.19469417078699344,,57.66591906735067,,,0.14113075566643798,0.8935829491911471
Nikolai Lugansky,41.0,"13 Preludes, Op. 32: No. 12. Allegro in G-Sharp Minor",155.906,Sergei Rachmaninoff,7,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/Rachmaninoff_-_Preludes_Op._32_No._12_in_G-sharp_minor.mxl","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00038.mid",https://www.youtube.com/watch?v=mvHLmx2uAXc,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._12_in_G-Sharp_Minor/00038_match.csv",0.055507344444444544,0.1528065206722815,0.13661337034691431,0.01939269600358746,1.5083379516787865,0.0194158533286263,-0.4489411439820763,-0.08702689819607942,,65.52779439628289,,,0.22069749384766488,1.134966777400231
Sviatoslav Richter,0.0,"13 Preludes, Op. 32 (Excerpts): No. 10 in B Minor [Live]",315.466,Sergei Rachmaninoff,9,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._10_in_B_Minor:_Lento/musicxml_cleaned.musicxml","Sergei_Rachmaninoff/13_Preludes,_Op._32/No._10_in_B_Minor:_Lento/00043.mid",https://www.youtube.com/watch?v=S33iBcfV3MI,"Sergei_Rachmaninoff/13_Preludes,_Op._32/No._10_in_B_Minor:_Lento/00043_match.csv",0.03446388095238118,0.5137471718998166,0.5621946264764157,0.00990849536005917,0.7211614228410952,-0.330021082598463,-0.5660859618983448,-0.47008226096799355,,35.462482186903216,,,0.5579823368880433,-1216.5096676133273
